;;;;;
1U CubeSat ̶  Systems Requirements Specifications;;;;;
;;;;;
R-ID;Requirement Statement;Rationale;Verification Method;Acceptance Criteria;Owner
Mission Requirements;;;;;
MR-001;The system shall autonomously detect and transition through six (6) flight phases: Standby, Launch, Ascent, Cruise, Descent, and Landing.;Core mission objective - demonstrate autonomous phase detection capability during stratospheric balloon flight;Test;"Simulate each phase transition in laboratory environment; verify during balloon flight";FSW + CDH
MR-002;The system shall operate continuously for a minimum of six (6) hours without external power input.;"Typical stratospheric balloon flight duration is 3-4 hours; margin included for delays";Test;Continuous operation endurance test with all subsystems active;EPS
MR-003;The system shall acquire and log sensor data at a rate of at least one (1) Hz throughout the mission.;Sufficient sampling rate for phase detection algorithms and post-flight trajectory reconstruction;Test;"Verify data logging rate during system operation; check for ≥99% sample capture";CDH
MR-004;The system shall transmit telemetry data to a ground station from altitudes up to forty (40) kilometers, corresponding to a worst-case slant range of 125 km assuming 120 km horizontal drift.;"Maximum expected balloon altitude is approximately 30-35 km; enables real-time mission monitoring";Analysis + Test;Link budget showing minimum 10 dB margin at 125 km slant range.;TT&C
MR-005;The system shall store all acquired flight data to non-volatile memory for post-flight retrieval.;Provides backup for telemetry and enables detailed post-flight analysis if real-time link is lost;Test;Verify 100% of logged data is readable from SD card after power cycle;CDH
MR-006;The system shall fit within a 1.5U CubeSat form factor of 100 mm × 100 mm × 170 mm.;Integration constraint for balloon payload bay mounting and CubeSat standard compliance;Examination;Physical dimensional measurement of assembled system;Structure + All
MR-007;"The system shall survive environmental conditions including temperature range of -60°C to +40°C and pressure down to 1 kPa, with each subsystem operating within ist own rated temperature range; payload-specific operating limits are captured in MR-010.";"Expected stratospheric environment: temperature decreases with altitude; pressure ~1 kPa at 30 km";Analysis + Test;"Component datasheet review for temperature/pressure ratings; thermal chamber test if available";All
MR-008;The total flyable system mass shall not exceed 650 grams.;Total flyable mass;Examination;;All
MR-009;The system shall host an on-board Edge-TPU ML payload that autonomously runs inference and delivers structured output to the OBC at 1 Hz within its own power and thermal envelope, without affecting the primary mission.;On-board edge-ML inference within the 1U envelope is the project's primary demonstrated contribution. The payload's 0 °C floor (set by the TPU and memory) is far warmer than the rest of the stack, so it is scoped to the payload and does not bound other subsystems or MR-007.;Test + Analysis;"Both models (see payload PoC documentation) output to the OBC at 1 Hz; payload stays above 0 °C with no throttle while other subsystems verify to their own ranges per MR-007; power within IF-009/PR-008; output verifiable against ground truth (FSM, SD frames) at documented accuracy.";Payload
;;;;;
Functional Requirements;;;;;
FR-001;The OBC shall provide at least one (1) I2C buses for sensor interfaces.;Enables connection of multiple I2C devices (IMU, barometer) individually accessed through their unique address.;Examination;Verify STM32 configuration shows ≥1 I2C peripherals enabled;OBC
FR-002;The OBC shall provide at least one (1) SPI bus for high-speed peripheral communication.;Required for SD card data logging and LoRa module communication;Examination;Verify STM32 configuration shows ≥1 SPI peripheral enabled;OBC
FR-003;The OBC shall provide at least one (1) UART interface for GPS communication.;GPS module communicates via UART protocol with NMEA sentence output;Examination;Verify STM32 configuration shows ≥1 UART peripheral enabled;OBC
FR-004;The FSW shall implement a finite state machine with six (6) distinct states corresponding to mission phases.;"Structured approach to autonomous phase management; ensures deterministic behavior";Test;Unit test verifying all six states are implemented and reachable;FSW
FR-005;The FSW shall transition from Standby to Launch state when vertical acceleration exceeds 1.5g for at least two (2) consecutive seconds.;"Detects balloon release; threshold avoids false triggers from ground handling vibrations";Test;"Simulate acceleration input; verify transition occurs within 5 seconds of threshold";FSW
FR-006;The FSW shall transition from Launch to Ascent state when altitude exceeds 100 meters AND vertical velocity exceeds 5 m/s.;"Confirms sustained ascent after initial launch transient; dual condition prevents false transitions";Test;"Simulate altitude and velocity inputs; verify both conditions required for transition";FSW
FR-007;The FSW shall transition from Ascent to Cruise state when altitude rate of change is less than 0.5 m/s for at least thirty (30) consecutive seconds.;Detects stabilization at float altitude when balloon expansion ceases;Test;"Simulate altitude plateau; verify 30-second stability window required";FSW
FR-008;The FSW shall transition from Cruise to Descent state when altitude rate of change is less than -2 m/s for at least ten (10) consecutive seconds.;"Detects balloon burst and descent initiation; negative rate threshold confirms downward motion";Test;"Simulate descent rate; verify 10-second confirmation window";FSW
FR-009;The FSW shall transition from Descent to Landing state when GPS velocity is less than 1 m/s AND altitude is less than 200 meters for at least five (5) consecutive seconds.;"Detects final landing with combined velocity and altitude check; avoids false triggers during descent";Test;"Simulate landing conditions; verify both conditions met for ≥5 seconds";FSW
FR-010;The FSW shall persist the current flight phase state to non-volatile memory within one (1) second of any state transition.;Enables phase recovery after unexpected power cycle or system reset during flight;Test;"Power cycle system during each phase; verify correct phase restored after reboot in 6/6 test cases";FSW
FR-011;The FSW shall implement a watchdog timer with a timeout period of ten (10) seconds.;Provides automatic recovery from software faults or infinite loops;Test;"Fault injection test; verify system resets within 10 seconds when watchdog not serviced";FSW
FR-012;The FSW shall prohibit transitions to undefined or invalid states.;Ensures deterministic state machine behavior and system stability;Test;"Attempt invalid state transitions; verify no undefined states reached during exhaustive testing";FSW
FR-013;The CDH shall acquire GPS position data (latitude, longitude, altitude) at a rate of at least 1 Hz.;Supports phase detection algorithms and provides trajectory data for post-flight analysis;Test;"Measure GPS data update rate; verify ≥1 Hz sustained output";CDH
FR-014;The CDH shall acquire IMU data (3-axis acceleration, 3-axis rotation) at a rate of at least 1 Hz.;Supports launch and landing phase detection via acceleration thresholds;Test;"Measure IMU data acquisition rate; verify ≥1 Hz output for all 6 axes";CDH
FR-015;The CDH shall acquire barometric pressure and derived altitude data at a rate of at least 1 Hz.;Provides altitude redundancy when GPS signal is unavailable or unreliable;Test;"Measure barometer data acquisition rate; verify ≥1 Hz output";CDH
FR-016;The CDH shall log to SD card: timestamp, current flight phase, GPS data, IMU data, barometer data, payload results, payload PoC verification footage and battery voltage.;Complete mission data record for post-flight analysis and mission reconstruction;Examination;"Inspect SD card log file format; verify all specified fields present";CDH
FR-017;The CDH shall write logged data to SD card at a rate of at least 1 Hz with ≥99% write success rate.;"Matches sensor acquisition rate; high reliability ensures data completeness";Test;"Verify ≥1 log entry per second during extended test; calculate write success percentage";CDH
FR-018;The CDH shall implement equipment handlers interfacing with each sensor, handling startup, reading and flagging outdated data. ;Have a clear, near industry software infrastructure;Test;Verify correct startup and reading in nominal mode and data flagging in fault mode;CDH 
FR-019;The CDH shall store the data obtained by the equipment handlers in the datapool vector accessible for FSW;Clear interface with FSW;Test;Verify correct interfacing with equipment handlers, availbillity and correct formatting for FSW;CDH
FR-020;The CDH shall store a Spacecraft Configuration Vector (SCV) in a nonvolatile memory and update it regurlarly;Store configuration for fault detection, isolation and recovery (FDIR);Test;Verify correct storage and recovery capabillities ;CDH
FR-021;"The CDH shall provide altitude data to FSW from GPS when available; otherwise from barometer.";"Altitude source redundancy for phase detection; graceful degradation if GPS signal lost";Test;"Block GPS signal; verify FSW receives barometer altitude and continues phase detection";CDH
FR-022;The TT&C shall transmit standarized telemetry packets at a rate of approximately one (1) packet per twenty (20) seconds, corresponding to a duty cycle below 1% to comply with European ISM band regulations.;Provides real-time mission status to ground operators without excessive spectrum usage;Test;Measure packet transmission rate over 5-minute interval;TT&C
FR-023;The telemetry packet shall include: header, packet type, sequence number, timestamp, current flight phase, GPS latitude, GPS longitude, GPS altitude, IMU acceleration (3-axis), selected payload data, and battery voltage, and parity check according to the ICD.;Ground station receives sufficient data for real-time mission monitoring and abort decisions;Examination;"Capture and inspect transmitted packet structure; verify all fields present";TT&C
FR-024;The TT&C shall operate at 868 MHz within the European ISM band (863-870 MHz) in compliance with ETSI EN 300 220.;Compliance with German/EU radio regulations for unlicensed operation;Examination;Verify LoRa module hardware specification confirms 868 MHz operation;TT&C
FR-025;The ground station shall receive, decode and display standarised telemetry data in ICD in human-readable format.;Enables real-time mission monitoring by non-technical ground crew;Demonstration;Demonstrate telemetry reception and display during integration test;TT&C
FR-026;The TT&C shall configure the LoRa radio module at Spreading Factor 9 (SF9), bandwidth 125 kHz, and coding rate 4/5, giving a data rate of 1758 bps and a receiver sensitivity of -137 dBm.;SF9 at 125 kHz bandwidth provides -137 dBm sensitivity giving 26.5 dB link margin at 125 km slant range, while maintaining a data rate of 1758 bps which comfortably exceeds the 608 bps telemetry requirement. Avoids crystal drift issues associated with narrower bandwidths at stratospheric temperatures.;Test;Verify LoRa firmware register configuration shows SF9, BW 125 kHz, CR 4/5. Confirm data rate of 1758 bps and sensitivity of -137 dBm match RFM95W datasheet Table 3 and Table 5.;TT&C
FR-027;The OBC shall exchange data with the Coral Dev Board Micro payload over UART at 115200 baud, triggering inference and receiving a fixed 16-byte output block at 1 Hz.;"Defines the physical and data interface between payload and OBC; pinning the baud rate and a fixed-width block at a fixed rate makes the interface verifiable and lets the OBC reserve its SD-log and telemetry fields. ";Test;"UART capture confirms 115200 baud and a correctly framed 16-byte block received at 1 Hz; the block is logged to SD and included in the outbound telemetry packet.";OBC
;;;;;
Performance Requirements;;;;;
PR-001;Phase detection latency shall not exceed five (5) seconds from threshold condition being met to state transition completion.;Ensures timely phase transitions for accurate mission timeline and responsive system behavior;Test;Measure time delay between threshold crossing and state transition in 95% of test cases;FSW
PR-002;Data logging shall capture at least 99% of expected samples during normal operation.;Ensures data completeness for post-flight analysis and mission reconstruction;Test;"Calculate ratio: (actual samples logged) / (expected samples); verify ≥0.99";CDH
PR-003;GPS horizontal position accuracy shall be within ten (10) meters CEP (Circular Error Probable).;Sufficient accuracy for landing location determination and trajectory reconstruction;Test;Compare GPS output to known surveyed position during static ground test;CDH
PR-004;The TT&C system shall maintain a radio link with a minimum margin of 10 dB at a worst-case slant range of 125 km, corresponding to a balloon altitude of 40 km with 120 km horizontal drift.;Supports telemetry reception from maximum balloon altitude with margin;Analysis + Test;"Link budget calculation showing positive margin; ground range test at maximum feasible distance";TT&C
PR-005;The OBC shall operate at a clock frequency sufficient to run the FSW superloop within each 1Hz cycle with margin. ;Sufficient processing power for FSW execution, sensor polling, and data logging;Examination;Verify configured clock frequency in STM32 configuration ≥80 MHz;OBC
PR-006;The system boot time from power-on to operational state shall not exceed thirty (30) seconds.;Ensures system becomes operational quickly after power application for pre-flight checks;Test;Measure time from power application to first telemetry packet transmission;All
PR-007;The TT&C link budget shall demonstrate a minimum link margin of 10 dB and an SNR exceeding 0 dB at the worst-case slant range of 125 km. The effective SNR after LoRa processing gain shall exceed 10.5 dB to ensure BER below 10^-6.;Formally captures the link quality requirement derived from the link budget. Ensures both signal strength margin and bit error rate requirement are met simultaneously.;Analysis;Link budget showing link margin > 10 dB, raw SNR > 0 dB, and effective SNR after processing gain > 10.5 dB at 125 km slant range.;TT&C
PR-008;The EPS power budget shall demonstrate a minimum margin of 1.5x between usable battery capacity and total energy required for the full flight duration of six (6) hours.;Standard systems engineering power margin for student projects. Accounts for uncertainty in duty cycle assumptions, particularly Coral Dev Board Micro inference frequency which is not yet fully defined.;Analysis;Power budget calculation showing margin >= 1.5x at 6-hour flight duration with cold temperature derate factor of 0.9 applied to nominal battery capacity.;EPS
;;;;;
Interface Requirements;;;;;
IF-001;The GPS module shall communicate with the OBC via UART at 9600 baud using NMEA 0183 protocol.;"Standard GPS interface protocol; ensures compatibility between GPS module and OBC firmware";Test;Verify successful NMEA sentence parsing and position data extraction;CDH + OBC
IF-002;The IMU shall communicate with the OBC via I2C at 100 kHz (standard mode) or 400 kHz (fast mode).;"Standard I2C speeds supported by MPU-6050; provides adequate data throughput for 1 Hz sampling";Test;Verify successful I2C communication and register read/write operations;CDH + OBC
IF-003;The barometer shall communicate with the OBC via I2C at 100 kHz (standard mode) or 400 kHz (fast mode).;"Standard I2C interface for MS5607; avoids bus conflicts with IMU via separate I2C peripheral or addressing.";Test;Verify successful pressure and temperature data acquisition;CDH + OBC
IF-004;The SD card shall communicate with the OBC via SPI at a clock frequency between 100 kHz and 25 MHz.;"SD card standard SPI interface; variable speed allows initialization at low speed and operation at high speed";Test;Verify successful file creation, write, and read operations;CDH + OBC
IF-005;The LoRa module shall communicate with the OBC via SPI at a clock frequency up to 10 MHz.;"RFM95W SPI interface specification; sufficient speed for packet transmission at 0.1 Hz rate";Test;Verify successful packet transmission and configuration register access;TT&C + OBC
IF-006;The CDH subsystem shall provide sensor data to FSW in a standardized struct format updated at 1 Hz.;"Defines software interface between CDH and FSW; ensures FSW receives consistent data format";Examination;Code review verifying data structure definition and update rate;CDH + FSW
IF-007;The FSW shall provide current flight phase and system status to TT&C in a defined packet format.;"Defines software interface for telemetry generation; ensures consistent packet structure";Examination;Code review and packet capture analysis;FSW + TT&C
IF-008;The EPS shall provide battery voltage monitoring output to the OBC via analog voltage divider and ADC.;"Enables low-battery detection and voltage telemetry; simple resistor divider interface";Test;Verify voltage measurement accuracy within ±5% of actual battery voltage;EPS + OBC
IF-009;The EPS shall supply a regulated 5V rail capable of sustaining a continuous current of at least 500 mA and peak transients of up to 2A to the Coral Dev Board Micro payload.;Coral Dev Board Micro draws up to 2A peak during Edge TPU inference cycles. The EPS must handle this without voltage sag sufficient to reset other subsystems.;Test;"Measure rail voltage during Coral inference burst; verify voltage remains above 4.5V throughout peak current transient.";EPS + OBC
;;;;;
Constraint Requirements;;;;;
CR-001;The system total mass shall not exceed 650 kilograms.;Balloon payload mass limit confirmed with project supervisor. Current flyable mass budget shows 531.5 g with 15% margin giving 611.2 g -- within the 650 g limit.;Examination;"Weigh fully assembled flyable system on calibrated scale; verify total does not exceed 650 g.";Structure + All
CR-002;The system shall use only COTS (Commercial Off-The-Shelf) components available within project budget.;"Student project budget limitation; avoids custom hardware development cost and schedule risk";Examination;Verify all components on approved BOM are commercially available;All
CR-003;The system development shall be completed within twelve (12) weeks from project start.;"Academic semester timeline constraint; balloon flight scheduled for Week 12";Examination;Verify all subsystems integrated and tested by Week 11 per Gantt chart;All
CR-004;The system total cost shall not exceed the approved project budget.;"University funding limitation; requires cost tracking and approval for expenditures";Examination;Compare actual expenditures to approved BOM budget;Project Mgmt
CR-005;The system shall comply with German/EU regulations for radio transmission in the 868 MHz ISM band, including a maximum transmit power of 25 mW ERP (+14 dBm) and a duty cycle not exceeding 1% in the 868.0-868.6 MHz sub-band per ETSI EN 300 220.;Legal requirement for unlicensed operation in Europe. Transmit power and duty cycle limits apply specifically to the 868 MHz sub-band used by the RFM95W.;Analysis;"Verify firmware sets transmit power within legal limit. Calculate actual TX duty cycle from packet size, data rate, and transmission interval; confirm below 1%.";TT&C
CR-006;The GPS module shall support operation in Airborne <1g mode to avoid COCOM altitude limits.;"COCOM limits disable most civilian GPS above 18 km altitude; Airborne mode enables operation to 50 km";Examination + Test;"Verify GPS module datasheet specifies Airborne mode support; configure and test";CDH
;;;;;
Safety Requirements;;;;;
SR-001;The system shall include over-current protection on all power distribution lines.;"Prevents component damage from short circuits; protects battery from excessive discharge current";Examination + Test;"Verify fuses or electronic current limiters present; test trip threshold";EPS
SR-002;The system shall include reverse polarity protection on the main power input.;Prevents catastrophic component damage from incorrect battery connection during assembly;Examination;Verify diode or MOSFET reverse polarity protection circuit present;EPS
SR-003;The system shall protect the battery against over-discharge by monitoring per-cell voltage via IF-008 and commanding an orderly firmware shutdown before any cell falls below its minimum safe voltage of approximately 3.0 V per cell, with hysteresis.;The NCR18650B cells are unprotected and the U3V40F5 has no built-in UVLO, so over-discharge protection is implemented in firmware. A firmware shutdown via IF-008 is preferred over a fixed-resistor EN-pin cutoff: the boost topology cannot fully disconnect the load, and a fixed threshold is not temperature compensated, so it can false-trip or under-protect in the cold.;Examination;"Bench discharge confirms firmware performs an orderly halt (close SD log, send final telemetry frame, stop inference, halt) at approximately 3.0 V per cell before any cell drops below its minimum safe voltage under load; IF-008 reading verified within plus or minus 5 percent of reference. An optional EN-pin hard floor at approximately 2.8 V per cell is verified if fitted.";FSW + EPS
SR-004;The system shall not pose a radio interference risk to balloon flight control systems.;"Ensures safe balloon operation; avoid interference with critical flight systems";Test;"Coordinate with balloon operator; verify no interference during ground tests";TT&C
SR-005;"If Iridium is added:
The FSW shall not trigger Coral Dev Board Micro inference cycles simultaneously with Iridium transmission bursts.";Both Coral inference and Iridium transmission draw high peak currents -- up to 1.5A each. Simultaneous operation could cause rail voltage sag sufficient to reset the OBC or other subsystems.;Test;If Iridium is integrated, verify firmware schedules transmissions during Coral idle periods. Measure rail voltage during worst-case concurrent load scenario.;FSW + EPS
